rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
20,"spotify:track:5cAzaNbU7AEgfsJgL9sbtX","Linh","Je pense à vous","Jo&Co / Black Star Music",20,28,10,"1158545"
21,"spotify:track:7eqwODSSwRSniktCjCXZyW","Theodora, Jeez Suave","KONGOLESE SOUS BBL","Maison Neptune X NBFD",10,21,13,"1139796"
22,"spotify:track:3Byu179ofnuChb4zF1fMhu","Werenoi","Pétunias","AllPoints",8,20,17,"1110956"
23,"spotify:track:1GiJNHhNGReHSeHbkU02DX","SKUNK, Tiitof, Leto","Mwen An Sa","Elektra France",23,32,3,"1105857"
24,"spotify:track:32cwemsMJdzzsOYjVzfYMS","Helena","Mauvais Garçon","RCA Group",21,29,10,"1105377"
25,"spotify:track:6hKkzk8UlVUj9ioPCyeH1O","Jul","Sous la lune","D'Or et de Platine",3,22,21,"1086677"
26,"spotify:track:338wPdNyvOPGZddfk81EKA","Soolking, GIMS","CARRÉ OK","Universal Music MENA Distributed Labels",24,24,7,"1079504"
27,"spotify:track:6P3HLPsc5pWu3sZYxL0S9N","SANTA","Recommence-moi","999 Productions / Parlophone",16,25,40,"1023853"
28,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",19,26,13,"1020656"
29,"spotify:track:5SLs7GOdSvWhbxxJkTqf2u","Ninho, Niska","Collabo","Jefe Productions / Charo Inc / WMF / UMF",10,27,14,"1013400"
30,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",23,31,12,"992520"
31,"spotify:track:6uqUEyqPScFznadOkI7Nvm","Jul","Un jour, je l'aurai","D'Or et de Platine",14,30,11,"987959"
32,"spotify:track:2z9FUHRkbkV4BObNzbHsFU","Damiano David","Born With a Broken Heart","Sony Music Italy / Arista Records",32,80,7,"983044"
33,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",23,23,3,"927239"
