,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
108,109,spotify:track:3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,Red Zone Entertainment / IDJ,27,187,133,83422,1,Denmark
109,110,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),110,146,13,82958,1,Denmark
110,111,spotify:track:0BGEImCBesJKIm5kZ0fOkH,"Tobias Rahim, andreas odbjerg",STOR MAND (feat. Andreas Odbjerg),Sony Music Entertainment,1,55,173,82551,1,Denmark
111,112,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,65,65,82237,1,Denmark
112,113,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,113,190,12,82089,1,Denmark
113,114,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",22,179,36,82001,1,Denmark
114,115,spotify:track:4utLwWSxHMamLd9siyFv5Q,Gobs,Tro På Kærlighed,WM Denmark,4,92,109,81898,1,Denmark
115,116,spotify:track:0qA2qykpcGdVl3tiiYum4g,"KESI, Hans Philip",Blå Himmel (feat. Hans Philip),MXIII,1,76,216,80592,1,Denmark
116,117,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,26,74,43,80562,1,Denmark
117,118,spotify:track:2RKQ6S9N9s0BHmW1zvjaoS,Rasmus Seebach,Under Stjernerne På Himlen,Universal Music A/S,106,128,190,79314,1,Denmark
118,119,spotify:track:1IPZHV3uLxnFL59zjDLuMA,Benjamin Hav,Husk at vær' happy,Sony Music Entertainment,35,75,16,79222,1,Denmark
119,120,spotify:track:7v8QWTqh1nIhr3Uak06BxK,"KESI, Lamin, Benny Jamz, MAS, Kundo, Kimbo",Brutalt,Universal Music A/S,2,133,21,78990,1,Denmark
120,121,spotify:track:3D0VPp6nCN9dsyUjFv2BvP,The Minds Of 99,Hurtige Hænder - Acoustic Version - Moyo Live P3,No3,26,139,298,78555,1,Denmark
121,122,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,10,194,304,78528,1,Denmark
122,123,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,110,118,23,77933,1,Denmark
123,124,spotify:track:6BxGGPBdNexcy53euZsrga,"Artigeardit, KESI","Er Her (Artigeardit, KESI)",Universal Music A/S,1,112,181,77367,1,Denmark
124,125,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,125,87,76889,1,Denmark
125,126,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),Ministry of Sound Recordings,35,182,45,76371,1,Denmark
126,127,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,110,241,75822,1,Denmark
