,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
75,76,spotify:track:1emJPywtseFLmLCcPY92dW,"Dei V, Cris Mj",Rapido (with Cris Mj),Encore Recordings,6,94,37,635834,8,Spain
76,77,spotify:track:5QjmUqgpPQgXgg4606DqZF,Kapo,UWAIE,Sony Music Latin/La Industria,2,71,28,635307,8,Spain
77,78,spotify:track:61C7zXd4t2Zuhz6DRwgsLM,"Piso 21, Marc Anthony, Beéle",Volver,WM Mexico,76,76,3,630776,8,Spain
78,79,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,"Duki, Myke Towers",Nueva Era,DALE PLAY Records / SSJ Records,4,75,17,630183,8,Spain
79,80,spotify:track:0JoHqmlqE0W0i9prt6kcHR,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Sony Music Latin,53,97,31,618879,8,Spain
80,81,spotify:track:5orb2qBX5ISKtsSy20v8SK,"Gonzy, SAIKO, Arcángel",X'CLUSIVO - REMIX,"Virgin Music Latin / Visonare Recordings, LLC",1,96,52,618193,8,Spain
81,82,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,56,68,41,616605,8,Spain
82,83,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,6,98,167,615887,8,Spain
83,84,spotify:track:4eo11GQla5DlqMHQ76ym3l,Gonzy,FRIKI,"Virgin Music Latin / Visonare Recordings, LLC",8,78,45,614884,8,Spain
84,85,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,82,92,10,614057,8,Spain
85,86,spotify:track:06JM1fuKPQOrSL6s9mzDvV,Lola Indigo,LA REINA,Universal Music Spain S.L.,4,93,37,613557,8,Spain
86,87,spotify:track:1MB8kTH7VKvAMfL9SHgJmG,"Sebastian Yatra, Manuel Turizo, Beéle",Vagabundo,UMLE - Latino,3,86,94,611491,8,Spain
87,88,spotify:track:3ng8tfwvzR4BBwa9yaMms6,"SAIKO, JC Reyes, Dei V",BADGYAL,2024 SAIKONETA,1,99,44,610548,8,Spain
88,89,spotify:track:5ZLUm9eab8y3tqQ1OhQSHI,Lady Gaga,Abracadabra,Interscope Records,31,57,4,609189,8,Spain
89,90,spotify:track:39Pc4a04VgCtcc7m0XKi9M,Myke Towers,TAMBIÉN,WEA Latina,6,70,27,590185,8,Spain
90,91,spotify:track:5ER5Fr1Cv7N3chJhAapt66,"Ghost Killer Track, Kidd Keo",Celine (with Kidd Keo),DBT Empire,10,88,35,587037,8,Spain
91,92,spotify:track:3otX8OlB0CEWndnbej4OAI,"Trueno, Feid",CRUZ,Sony Music Latin,48,62,4,582687,8,Spain
92,93,spotify:track:7KmRozNJiNX1WUwrmNYKbJ,Aitana,SEGUNDO INTENTO,Universal Music Spain S.L.,26,58,5,581902,8,Spain
93,94,spotify:track:5Txf0ApheFvyRr1s4DxMb5,Marta Santos,Contigo,WM Spain,67,67,10,580379,8,Spain
94,95,spotify:track:0PtLrH95CQ2lKf6pym5LmA,"Pepe y Vizio, Delaossa, KIDDO",El Patio,Helsinkipro,8,100,88,577806,8,Spain
