,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
157,158,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",26,-1,5,79153,1,Belgium
158,159,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Always Remember Us This Way,A Star is Born OST,19,-1,147,79098,1,Belgium
159,160,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",17,134,181,79021,1,Belgium
160,161,spotify:track:1kDqGWSeR27gWaMouyXD0C,Gravagerz,Chihiro,Gravagerz,106,146,13,78406,1,Belgium
161,162,spotify:track:7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,49,180,100,78189,1,Belgium
162,163,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,13,135,56,78154,1,Belgium
163,164,spotify:track:7K1BLb6MpvKuGEPpHw35mO,"David Guetta, Alesso, Madison Love",Never Going Home Tonight (feat. Madison Love),Parlophone UK,124,-1,6,77898,1,Belgium
164,165,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,55,-1,30,77738,1,Belgium
165,166,spotify:track:1jDJFeK9x3OZboIAHsY9k2,Elton John,I'm Still Standing,EMI,90,122,172,77639,1,Belgium
166,167,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,128,-1,21,77616,1,Belgium
167,168,spotify:track:4lLtanYk6tkMvooU0tWzG8,Bruno Mars,Grenade,Elektra (NEK),154,-1,9,77549,1,Belgium
168,169,spotify:track:338wPdNyvOPGZddfk81EKA,"Soolking, GIMS",CARRÉ OK,Universal Music MENA Distributed Labels,169,-1,1,77380,1,Belgium
169,170,spotify:track:2hIFhSltVcRU1oJ3kf8Zy4,Roxy Dekker,Sugardaddy,Warner Music Benelux,10,118,39,77379,1,Belgium
170,171,spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Marvin Gaye, Tammi Terrell",Ain't No Mountain High Enough,UNI/MOTOWN,77,161,73,76962,1,Belgium
171,172,spotify:track:5B03nSG8pLE48jh7kmasuL,Avicii,Levels - Radio Edit,Universal Music AB,14,-1,9,76411,1,Belgium
172,173,spotify:track:5hnyJvgoWiQUYZttV4wXy6,Snow Patrol,Chasing Cars,Polydor Records,173,-1,1,76291,1,Belgium
173,174,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,1,193,83,76235,1,Belgium
174,175,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,97,171,161,76117,1,Belgium
175,176,spotify:track:4l0RmWt52FxpVxMNni6i63,Tate McRae,you broke me first,RCA Records Label,4,186,120,75929,1,Belgium
176,177,spotify:track:0uHrMbMv3c78398pIANDqR,Joost,Europapa,Joost Klein,1,107,43,75411,1,Belgium
177,178,spotify:track:5HdUMBc7AhPFhlPDZUpSwf,"Lilly Wood and The Prick, Robin Schulz",Prayer In C - Robin Schulz Remix - Radio Edit,Wagram Music / Cinq 7,177,177,3,75189,1,Belgium
