,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
130,131,spotify:track:2XqznQosAqM7khgOKLlotw,Plutonio,FDP,Bridgetown Records,33,80,10,92093,2,Portugal
131,132,spotify:track:6zp1J0CsOIiGLbRKFh5kGe,Calema,Perfume,Klasszik / Mondja,81,149,44,91720,2,Portugal
132,133,spotify:track:0LmTD3hpxgbbZMhj7za5Xm,"Van Zee, FRANKIEONTHEGUITAR",Insular,Van Zee & FRANKIEONTHEGUITAR,133,-1,1,90604,2,Portugal
133,134,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,19,105,69,90543,2,Portugal
134,135,spotify:track:5DrDpWyvharQkhsloNTN9W,"Mc J Mito, DJ Borest",Clack Bum,MK,25,99,26,90105,2,Portugal
135,136,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,57,148,45,89992,2,Portugal
136,137,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,58,109,76,89013,2,Portugal
137,138,spotify:track:1STXKGtCJeeP791CzEAqf5,Mc Jacaré,Pelo Menos,Croco Hits,82,122,8,89013,2,Portugal
138,139,spotify:track:02iIJMe5jh7rdnTO6dcPQL,PEDRO SAMPAIO,POCPOC,WM Brazil,1,117,58,88738,2,Portugal
139,140,spotify:track:4DhDNNhIDdduS6nZMbSMbs,"Mc Rodrigo do CN, DJ JOAO DA INESTAN",Amantes da Foda,Mc Rodrigo Do CN,58,100,7,88292,2,Portugal
140,141,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),90,112,18,88236,2,Portugal
141,142,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,11,95,112,88068,2,Portugal
142,143,spotify:track:1OjAoIz5Gl36rzm9RKEQeG,"Gson, Slow J, Sam The Kid","3,14",i.M,5,125,110,87535,2,Portugal
143,144,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,113,113,17,87508,2,Portugal
144,145,spotify:track:7pRna0eCkiOZOJ6TIvav1g,"Van Zee, FRANKIEONTHEGUITAR",Trágico,Van Zee & FRANKIEONTHEGUITAR,145,-1,1,87149,2,Portugal
145,146,spotify:track:6Ap9SM1WkmI4b4Mo2Cpa6f,"NATTAN, Léo Foguete",Última Noite,Nattan,86,120,4,86894,2,Portugal
146,147,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,101,101,7,86783,2,Portugal
147,148,spotify:track:64CovjRwInpOJW4PiGMprY,"MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho",Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,4,103,69,86333,2,Portugal
148,149,spotify:track:3p5b0fr7ynsuGeE8EJCJk9,Slow J,Fogo,Slow J,6,134,59,86298,2,Portugal
149,150,spotify:track:3yKvL0225QoVUbf0Jlzy5o,"Ivandro, Julinho Ksd",Chakras,Ivandro,1,114,90,85650,2,Portugal
150,151,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",64,131,37,85254,2,Portugal
151,152,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,70,119,24,85108,2,Portugal
152,153,spotify:track:5yS8wgwBnmjpXwGislck0n,"Bárbara Bandeira, Dillaz",Carro (feat. Dillaz),Parlophone Portugal,2,130,67,84739,2,Portugal
153,154,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",mi refe,5020 Records,154,-1,1,84439,2,Portugal
154,155,spotify:track:4f0aDk7HX37SfzerfznYlr,"Grupo Menos É Mais, Matheus Fernandes",Lapada Dela - Ao Vivo,Som Livre,8,137,95,84195,2,Portugal
155,156,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,135,135,3,84146,2,Portugal
156,157,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,67,108,82,83808,2,Portugal
157,158,spotify:track:4r4PT8ztky9NfGINelXcxM,"LON3R JOHNY, Plutonio",PIÑA COLADA,LON3R JOHNY X Plutonio,7,160,77,83762,2,Portugal
158,159,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,8,107,47,83242,2,Portugal
159,160,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,160,-1,1,83024,2,Portugal
160,161,spotify:track:35JnGLuFh6oMY7oV0e1SjY,Plutonio,Tal e Qual,Bridgetown Records,35,110,10,82960,2,Portugal
161,162,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,36,116,18,81984,2,Portugal
