,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
187,188,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,78,-1,42,360898,1,Italy
188,189,spotify:track:1w91YxaRwTShkKe4apYf3r,"Marracash, Guè",Insta Lova,Universal Music Italia srL.,1,193,87,357613,1,Italy
189,190,spotify:track:1k98jczpVBUfMYrl17atud,"Lazza, Kid Yugi",MEZZE VERITÀ (feat. Kid Yugi),Universal Music Italia srL.,9,-1,12,357595,1,Italy
190,191,spotify:track:7Da5kjy5GByLHE5OPQ4tpg,"Geolier, Marracash",IL MALE CHE MI FAI (feat. Marracash),Columbia,1,-1,83,357477,1,Italy
191,192,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,116,199,91,357214,1,Italy
192,193,spotify:track:2zASmTrt3BKblrAwVfcqfZ,"Kid Yugi, Glocky",Diablo (feat. Glocky),Universal Music Italia srL.,16,-1,6,356801,1,Italy
193,194,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,160,122,352427,1,Italy
194,195,spotify:track:6KfwIpX0Xo0lelmuUOnyZV,"Elodie, Marracash",Margarita (con Marracash),Universal Music Italia srL.,7,-1,72,352265,1,Italy
195,196,spotify:track:2D70Rxq21tVlTJwtugZ4CA,"thasup, Mara Sattei",BLESS SU BLESS,Thasup s.r.l.,39,118,4,351877,1,Italy
196,197,spotify:track:30dke5FBGFpC1mcIz4RJnA,Francesco Gabbani,Viceversa,BMG Rights Management Italy S.R.L.,4,-1,34,349577,1,Italy
197,198,spotify:track:0rDIjhe1IQJhh3oPDxZJMg,Pinguini Tattici Nucleari,Your Dog,Epic,41,152,5,349309,1,Italy
198,199,spotify:track:5fBhangmT51wT6SARWf8FJ,"Olly, Juli",A squarciagola,Epic,89,-1,5,349082,1,Italy
199,200,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,"The Weeknd, Anitta",São Paulo (feat. Anitta),XO / Republic Records,33,-1,5,348401,1,Italy
0,1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,-1,1,2784854,2,Italy
1,2,spotify:track:4GkgNC3bpLqXyuxWvlNfKI,"Guè, Rose Villain",Oh Mamma Mia (feat. Rose Villain),Universal Music Italia srL.,2,-1,1,2660499,2,Italy
2,3,spotify:track:6Ajvu1afirjocbZK934qqh,"Simba La Rue, Tony Boy, FT Kings",AYAHUASCA (feat. Tony Boy),Warner Music,1,1,2,2564674,2,Italy
3,4,spotify:track:1RZQfURtYA7RYzontyWTI5,"Guè, Artie 5ive",Akrapovič (feat. Artie 5ive),Universal Music Italia srL.,4,-1,1,2543100,2,Italy
4,5,spotify:track:6cGhVnQAJRxGVsltCU06vF,Guè,Vibe,Universal Music Italia srL.,5,-1,1,2342138,2,Italy
5,6,spotify:track:0M6Rh4nTaxVJefzV9IAVFq,"Guè, Stadio",Meravigliosa (feat. Stadio),Universal Music Italia srL.,6,-1,1,2173462,2,Italy
6,7,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,5,9,2124119,2,Italy
7,8,spotify:track:2DkiFEQ1ihXcYKaIRsfGFp,Marracash,LEI,Universal Music Italia srL.,1,2,5,2118206,2,Italy
8,9,spotify:track:62OO2X47vPk5WxTx68HDqg,"Artie 5ive, Niky Savage",BAMBOLA (feat. Niky Savage),Warner Music,2,3,5,2108118,2,Italy
9,10,spotify:track:4X4R6qsIicxIQIFbnDcJLO,"Olly, Juli",Scarabocchi,Epic,4,4,12,2061658,2,Italy
10,11,spotify:track:2iCVUhdByNBLrn7qJ15uub,"Guè, Shiva",Da 0 a 100 (feat. Shiva),Universal Music Italia srL.,11,-1,1,2035269,2,Italy
11,12,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1,6,17,1974246,2,Italy
12,13,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,7,13,1872365,2,Italy
13,14,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,14,179,2,1805147,2,Italy
14,15,spotify:track:5nFyfjGy6AMZqkW0OMUWJJ,"Olly, Angelina Mango, Juli",Per due come noi,Epic,1,9,19,1784547,2,Italy
15,16,spotify:track:5mOazYGaNJnv1zxMyNH6Rc,"Guè, chiello",Non Lo So (feat. chiello),Universal Music Italia srL.,16,-1,1,1781532,2,Italy
16,17,spotify:track:00URgxWgyVoybGLhhmKr7g,"Baby Gang, Omega, Higashi, Roberto Ferrante",Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,Baby Gang / Planet Records [Powered by Planet Distribution],10,10,18,1780237,2,Italy
17,18,spotify:track:4MtjrbmBKdYRMTyEHqOUmM,Marracash,GLI SBANDATI HANNO PERSO,Universal Music Italia srL.,2,8,5,1695775,2,Italy
18,19,spotify:track:4vqY8SB6XArs7IkEpWHTw9,"Guè, Ele A",Gazelle (feat. Ele A),Universal Music Italia srL.,19,-1,1,1570148,2,Italy
19,20,spotify:track:4uEhUyE9dnD1tF19YQXOsL,"Guè, Harry Fraud",Pain Is Love,Universal Music Italia srL.,20,-1,1,1562568,2,Italy
20,21,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,8,18,17,1557599,2,Italy
21,22,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,12,12,13,1503336,2,Italy
22,23,spotify:track:131zIBK6CCIbKPy9Nh9yvJ,"Guè, Geolier",Movie (feat. Geolier),Universal Music Italia srL.,23,-1,1,1498660,2,Italy
23,24,spotify:track:2O8jjjtyEfXliQ6vdtdPvH,"Papa V, Nerissima Serpe, Fritu",Tip Tap,UNIKAL,3,11,7,1468663,2,Italy
24,25,spotify:track:6Bc7dsZGUtwvbVEwmSU94q,Guè,La G La U La E Pt.3,Universal Music Italia srL.,25,-1,1,1436668,2,Italy
25,26,spotify:track:75Y6WgUldQN8mipAVLy8KJ,"Olly, Juli",Quei ricordi là,Epic,15,15,12,1416397,2,Italy
26,27,spotify:track:1SaOnOcniGVeCT3qVHJaGl,"Guè, Frah Quintale",Nei Tuoi Skinny (feat. Frah Quintale),Universal Music Italia srL.,27,-1,1,1405207,2,Italy
